UniProt_ID,n_residues,dD_evo_struct_decile,dD_std_decile,cohens_d,enrich_OR,n_low_hi,n_low_other,n_other_hi,n_other_other
DLG4_RAT,83,0.3478452032016604,-0.003671828581109371,1.8243506554421347,1.1964285714285714,1,7,8,67
DN7A_SACS2,55,-0.3819975258646243,-0.039157634474086156,-1.2213372677637488,,0,5,6,44
DNJA1_HUMAN,65,0.6221883635093427,0.45032929956072276,0.8359648075856271,13.75,3,3,4,55
DOCK1_MOUSE,66,-0.2936697661817493,0.015717129423196252,-0.6342608583857589,1.8,1,5,6,54
DYR_ECOLI,158,0.36763379966399246,0.033655561367933906,1.1443966386702464,2.5,3,12,13,130
ENVZ_ECOLI,60,-0.020902083644735447,0.34334322935407097,-0.05651920674097288,1.6,1,5,6,48
ENV_HV1BR,677,0.42083361871786784,0.09189116709838019,1.1310029824264838,2.4292929292929295,13,54,55,555
EPHB2_HUMAN,66,0.09684525758282514,0.2874439596869456,0.28127991771581407,1.8,1,5,6,54
ESTA_BACSU,168,-0.08711569824111642,0.02507476338180692,-0.41735822984797355,0.5666666666666667,1,15,16,136
FECA_ECOLI,72,0.13261975242445012,-0.12092778031311713,0.26701694152796834,9.0,3,4,5,60
FKBP3_HUMAN,69,-0.1118923566707688,-0.05904161658912099,-0.35575033009486745,1.9,1,5,6,57
GAL4_YEAST,64,-0.0017362984535763681,0.2794629346585066,-0.013886813678086153,,0,6,7,51
GDIA_HUMAN,445,-0.17587052103359552,-0.011130516307848781,-0.44921381847746233,0.6254355400696864,3,41,42,359
GFP_AEQVI,233,0.08916288532139893,0.026699293884485775,0.28620581860383376,2.0,4,19,20,190
GRB2_HUMAN,55,0.14532079017518468,0.015518533283960967,0.8868430451930408,,0,5,6,44
HCP_LAMBD,55,0.04265438740085625,0.2689568724457627,0.11675353837197382,2.25,1,4,5,45
HECD1_HUMAN,72,-0.044298977796488226,0.20876586729570967,-0.20605748294164966,,0,7,8,57
HEM3_HUMAN,342,0.12436696727164287,0.022387713482026395,0.4015402825359087,1.1913978494623656,4,30,31,277
HIS7_YEAST,91,-0.04357262042400817,-0.0058648837729237124,-0.06806628755506566,1.0138888888888888,1,8,9,73
HMDH_HUMAN,887,0.05699314270022093,-0.002707897387981717,0.18657702184352756,0.4,4,84,85,714
HSP82_YEAST,707,-0.09200361957000425,0.012293512194297085,-0.2799725910729777,0.5156037991858887,4,66,67,570
HXK4_HUMAN,464,-0.019578391024147823,0.058267194329633565,-0.07168327471795825,1.0917537746806039,5,41,42,376
I6TAH8_I68A0,498,0.10675668995237864,-0.03040192227865235,0.30092596533512683,1.8908246225319396,8,41,42,407
IF1_ECOLI,72,0.22133754088029178,0.17105560353620886,0.539062833442593,1.380952380952381,1,6,7,58
ILF3_HUMAN,71,0.31213309580954063,0.40040510085452163,2.108787213016307,,0,7,8,56
ISDH_STAAW,55,0.6250034224732237,0.3146625492427715,1.29063867230225,7.666666666666667,2,3,4,46
KCNE1_HUMAN,127,0.18945228157114014,-0.0965991789199927,0.4671366965294686,1.8909090909090909,2,10,11,104
KCNJ2_MOUSE,391,-0.05701206002562542,0.019039793716267295,-0.2436044701365893,0.4466571834992888,2,37,38,314
KKA2_KLEPN,264,0.1672195408793662,0.08089387962430461,0.5505060569757657,1.699604743083004,4,22,23,215
LGK_LIPST,439,0.031952617799954564,0.15781565912569295,0.09093497588560123,1.8866366366366367,7,36,37,359
MBD11_ARATH,66,-0.1407355267978554,0.08808639294912779,-0.3232800769148455,1.8,1,5,6,54
MET_HUMAN,287,0.11491267168197572,0.014498502674103686,0.38871662844030147,2.7984189723320156,6,22,23,236
MK01_HUMAN,359,0.03949504590990677,0.17595136706027048,0.10397609178542377,3.8076923076923075,9,26,27,297
MLAC_ECOLI,211,0.1770803643069485,0.044444128749792644,0.3760942873449886,3.1801470588235294,5,16,17,173
MSH2_HUMAN,934,-0.07834684010165027,-0.025274227619185408,-0.20962152302993423,1.0857716580608148,10,83,84,757
MTH3_HAEAE,329,0.10448608074459065,0.09642201376980752,0.21107541231954277,7.885714285714286,12,20,21,276
MTHR_HUMAN,656,-0.1268462314403931,0.008522555479647309,-0.3543705719766723,0.5594923320994183,4,61,62,529
MYO3_YEAST,61,-0.10139909233750877,0.22590071124887845,-0.20655565102519458,1.6333333333333333,1,5,6,49
NCAP_I34A1,498,0.08164137168459107,-0.018721283214438,0.2908561644152347,1.284355179704017,6,43,44,405
NKX31_HUMAN,61,-0.271213357537898,0.2640290859890872,-1.4445343714360412,,0,6,7,48
NPC1_HUMAN,115,0.3721345304935577,0.05480553711318281,1.1690409215405406,3.9583333333333335,3,8,9,95
NRAM_I33A0,50,0.519400924288201,0.04998285134296332,1.7914175642612649,6.833333333333333,2,3,4,41
NUD15_HUMAN,163,-0.03524285117112802,0.20018274403341074,-0.11436376023958245,0.5458333333333333,1,15,16,131
NUSA_ECOLI,69,0.1592547431166791,0.27853354632718597,0.5312996520353335,1.9,1,5,6,57
NUSG_MYCTU,55,0.1792866136631902,0.37935740383629024,0.32899311602813636,7.666666666666667,2,3,4,46
OBSCN_HUMAN,65,-0.04131059739543652,-0.12847583017921294,-0.19260968664121747,,0,6,7,52
OPSD_HUMAN,109,-0.24791759788705914,0.05249488435972771,-0.5489707197736595,2.5,2,8,9,90
OTC_HUMAN,322,0.1661475549952498,-0.004366565916364085,0.4055616431769965,2.8430769230769233,7,25,26,264
OXDA_RHOTO,364,0.013382455356470202,0.021688728102448263,0.04398232501973374,1.4919354838709677,5,31,32,296
P53_HUMAN,393,0.011007673581703958,-0.07109348799257531,0.04139514680284095,0.2125506072874494,1,38,39,315
P84126_THETH,80,0.2747599010241064,0.0856500827531449,0.9263881124645548,,0,8,9,63
PABP_YEAST,75,-0.054711020672969846,-0.09565697276907603,-0.29775654064410945,,0,7,8,60
PAI1_HUMAN,379,0.17973978582061662,0.04429447931471442,0.4341282111393661,5.833846153846154,12,25,26,316
PA_I34A1,674,-0.025785406597915728,-0.012416412139343636,-0.061732062396379184,0.8646218931782126,6,61,62,545
PHOT_CHLRE,118,0.053051297843893064,0.3122673979876458,0.12773482170520475,2.1555555555555554,2,9,10,97
PITX2_HUMAN,52,0.7965328530381972,0.09495303862856885,1.453165493044212,22.0,3,2,3,44
PKN1_HUMAN,71,0.05810620698940916,0.38407357490305816,0.2181627732035279,1.6571428571428573,1,5,7,58
POLG_CXB3N,851,0.013793031017748536,-0.06864105583008884,0.04375065573595418,0.9164169164169165,8,77,78,688
POLG_DEN26,900,-0.0817406259889999,-0.011658394033597697,-0.23877283488497486,1.5844155844155845,13,77,78,732
POLG_PESV,53,-0.22715550457413836,0.11104341427549436,-0.5004077658336952,7.333333333333333,2,3,4,44
PPARG_HUMAN,504,-0.20739983129433937,0.016659420660486313,-0.9403546222417217,0.16489795918367348,1,49,50,404
PPM1D_HUMAN,420,0.05714315005379006,0.02090504371179369,0.26397244804507475,0.9149797570850202,4,38,39,339
PR40A_HUMAN,63,-0.002456432895099392,0.4024504912328888,-0.008654128129513817,1.7,1,5,6,51
PRKN_HUMAN,465,0.050230181700062826,-0.0424318924040884,0.16706834665957246,1.3829268292682926,6,40,41,378
PSAE_PICP2,68,0.1252201291270188,0.03657950287926037,0.38827281835901245,,0,6,7,55
PTEN_HUMAN,403,0.002151916598257697,0.061771929863347785,0.009020390123134981,0.978978978978979,4,36,37,326
Q2N0S5_9HIV1,670,0.41772444153125143,0.10337617483786299,1.1069220356158516,4.062857142857143,18,49,50,553
Q53Z42_HUMAN,180,-0.13989159059519962,-0.06624085637208554,-0.568299017610621,0.47058823529411764,1,17,18,144
Q59976_STRSQ,500,0.00824037544870071,0.0836414171168689,0.024048753478943797,2.132404181184669,9,41,42,408
Q6WV12_9MAXI,220,-0.03063608081455016,0.08732939147658592,-0.07109358385046854,0.8428571428571429,2,20,21,177
Q8WTC7_9CNID,234,0.23130541812647487,0.1250389867872933,0.5764771102552604,6.5,8,15,16,195
R1AB_SARS2,303,0.08600467769988207,-0.08036801484571454,0.21360819523993682,6.0,10,20,21,252
RAD_ANTMA,54,-0.6676350163181372,0.3228496813283698,-0.8008899720151826,2.2,1,4,5,44
RASH_HUMAN,165,0.07097810871531918,0.06791483156890943,0.2013247021469205,7.527272727272727,6,10,11,138
RASK_HUMAN,185,-0.04476795381995635,0.07477704553021924,-0.1030021922180862,1.8875,3,15,16,151
RBP1_HUMAN,52,-0.008806896725700564,0.29974555556290217,-0.019573762774694647,2.1,1,4,5,42
RCD1_ARATH,57,0.16486449510897905,0.039806651934028325,0.21506590052440527,8.0,2,3,4,48
RCRO_LAMBD,63,0.27066273341817026,0.36317752285621197,0.5975394655519753,1.7,1,5,6,51
RDRP_I33A0,754,-0.11340310579400625,-0.02092278467202202,-0.3084033676677727,1.0728709394205442,8,67,68,611
REV_HV1H2,113,-0.08210081627995247,-0.1048850673178029,-0.20839811062678218,2.0444444444444443,2,9,10,92
RFAH_ECOLI,55,-0.02216035730254029,0.07629203115278171,-0.09492672277975504,,0,5,6,44
RL20_AQUAE,59,0.16917651536320905,0.21272728829146925,0.1437227124375745,2.45,1,4,5,49
RL40A_YEAST,75,0.06397724810442251,0.08190323588144499,0.1268994902051913,9.45,3,4,5,63
RNC_ECOLI,226,0.19625134916859532,0.14889309650813698,0.3227953417887946,1.4526315789473685,3,19,20,184
RPC1_BP434,61,0.38152598437909857,0.35333699117178297,0.9446580909148545,12.75,3,3,4,51
RPC1_LAMBD,59,0.1740889689960285,0.10963309944921595,0.4934623080852599,8.333333333333334,2,3,4,50
RS15_GEOSE,63,0.35788632063444925,0.19996607467028205,0.9333469736638937,1.7,1,5,6,51
S22A1_HUMAN,547,-0.12175027078169254,0.007214167416135453,-0.5296127850561237,0.6933333333333334,4,50,51,442
SBI_STAAM,56,0.5006441203574021,0.28485406434290095,1.2657047907463892,7.833333333333333,2,3,4,47
SC6A4_HUMAN,612,-0.046266359481517916,0.037767737738304996,-0.18332354512058477,0.9642857142857143,6,55,56,495
SCIN_STAAR,70,0.12357536211419834,0.06356492310440653,0.29921311053366656,1.3333333333333333,1,6,7,56
SERC_HUMAN,366,0.07520240880393347,0.05857247247957664,0.19666466590598333,1.929032258064516,6,30,31,299
SHOC2_HUMAN,578,-0.10138122718430298,0.08963708516691105,-0.5387368303246777,0.4707070707070707,3,54,55,466
SOX30_HUMAN,57,0.5485025830725888,0.3818014173113533,0.9017033753301663,24.5,3,2,3,49
SPA_STAAU,55,0.7687587159609731,0.0922907123350416,1.2239493275740077,23.5,3,2,3,47
SPG1_STRSG,55,0.07501167620506466,0.03343025168980984,0.33610375254708086,2.25,1,4,5,45
SPG2_STRSG,56,0.22529630978709758,-0.016324745086191528,1.0580884076999069,,0,5,6,45
SPIKE_SARS2,201,0.07348431096810049,-0.023803498248542887,0.3117010327499499,0.9473684210526315,2,18,19,162
SPTN1_CHICK,60,0.26295740785560007,-0.004929502715808498,0.40772090508298864,1.6,1,5,6,48
SRBS1_HUMAN,67,0.003547278314058544,0.30581017829023316,0.013098397496131379,,0,6,7,54
SRC_HUMAN,247,0.14406807323768178,0.015914535219914594,0.5233943062292237,1.9238095238095239,4,20,21,202
SUMO1_HUMAN,96,0.1211717695801049,0.04001710992475904,0.6144631116768141,1.0833333333333333,1,8,9,78
SYUA_HUMAN,139,0.22369752611976051,0.014008445103261269,0.6332048494680006,0.7243589743589743,1,12,13,113
TADBP_HUMAN,84,-0.07359602129568088,-0.229934913655508,-0.29970789747454063,1.2142857142857142,1,7,8,68
TAT_HV1BR,83,0.1260211941387399,-0.18873126552675468,0.5487256215282852,1.1964285714285714,1,7,8,67
TNKS2_HUMAN,59,-0.35611919233842304,0.18267818670271863,-0.8090032714340628,2.45,1,4,5,49
TPK1_HUMAN,241,0.08999140409327455,0.03803564299738482,0.34033862079830096,0.3496376811594203,1,23,24,193
TPMT_HUMAN,241,-0.08592297285124417,0.04371657124521022,-0.2743340588772762,1.2662337662337662,3,21,22,195
TRPC_SACS2,80,-0.0807568038828339,0.05220891501551306,-0.251870763033662,,0,8,9,63
TRPC_THEMA,80,0.04348000792224571,0.03008471902324944,0.15368277171925926,,0,8,9,63
UBC9_HUMAN,158,0.048010318672638,0.08494878849267995,0.09259834787054298,2.5,3,12,13,130
UBE4B_HUMAN,69,0.06658441381707492,0.2537434353660817,0.1175290748643067,1.9,1,5,6,57
UBE4B_MOUSE,102,-0.08816510604213978,-0.023503821043113104,-0.24420960162014246,,0,10,11,81
UBR5_HUMAN,58,0.38192980384916864,0.23512748764515168,0.6683465816430109,2.4,1,4,5,48
VILI_CHICK,65,0.0910952913621334,0.23498910873165768,0.14566717772034274,1.7666666666666666,1,5,6,53
VKOR1_HUMAN,162,0.010017280742160184,0.09296997857329248,0.03530773539742992,2.1758241758241756,3,13,14,132
VRPI_BPT7,56,0.7057047056661969,0.36941130532710653,1.2070400466543318,7.833333333333333,2,3,4,47
YAIA_ECOLI,52,0.5347538955438841,-0.010767778941596973,0.8084050052651305,2.1,1,4,5,42
