UniProt_ID,target_len,uni_len,n_mapped,coverage,identity
Q837P5_ENTFA,571,571,571,1.0,1.0
Q8WTC7_9CNID,238,238,238,1.0,1.0
R1AB_SARS2,306,7096,306,1.0,1.0
RAD_ANTMA,54,93,54,1.0,1.0
RAF1_HUMAN,648,648,648,1.0,1.0
RASH_HUMAN,189,189,189,1.0,1.0
RASK_HUMAN,188,189,188,1.0,0.9042553191489362
RBP1_HUMAN,52,655,52,1.0,0.9807692307692307
RCD1_ARATH,57,589,57,1.0,1.0
RCRO_LAMBD,63,66,58,0.9206349206349206,1.0
RD23A_HUMAN,44,363,44,1.0,1.0
RDRP_I33A0,757,757,757,1.0,1.0
REV_HV1H2,116,116,116,1.0,0.9913793103448276
RFAH_ECOLI,55,162,55,1.0,1.0
RL20_AQUAE,59,118,59,1.0,1.0
RL40A_YEAST,128,128,128,1.0,1.0
RNC_ECOLI,226,226,226,1.0,1.0
RPC1_BP434,61,95,61,1.0,1.0
RPC1_LAMBD,237,237,237,1.0,1.0
RS15_GEOSE,63,89,63,1.0,1.0
S22A1_HUMAN,553,554,553,1.0,1.0
SAV1_MOUSE,43,386,43,1.0,0.8837209302325582
SBI_STAAM,56,426,56,1.0,1.0
SC6A4_HUMAN,630,630,630,1.0,1.0
SCIN_STAAR,70,116,70,1.0,1.0
SCN5A_HUMAN,2016,2016,2016,1.0,1.0
SDA_BACSU,44,52,44,1.0,1.0
SERC_HUMAN,370,370,370,1.0,1.0
SHOC2_HUMAN,582,582,582,1.0,1.0
SOX30_HUMAN,57,753,57,1.0,1.0
SPA_STAAU,55,508,55,1.0,0.7454545454545455
SPG1_STRSG,448,448,448,1.0,0.9977678571428571
SPG2_STRSG,56,593,56,1.0,0.9107142857142857
SPIKE_SARS2,1273,1273,1273,1.0,1.0
SPTN1_CHICK,60,2477,60,1.0,0.9
SQSTM_MOUSE,40,442,40,1.0,1.0
SR43C_ARATH,48,373,48,1.0,1.0
SRBS1_HUMAN,67,1292,67,1.0,0.9701492537313433
SRC_HUMAN,536,536,536,1.0,1.0
SUMO1_HUMAN,101,101,101,1.0,1.0
SYUA_HUMAN,140,140,140,1.0,0.9571428571428572
TADBP_HUMAN,414,414,414,1.0,1.0
TAT_HV1BR,86,86,86,1.0,0.9186046511627907
TCRG1_MOUSE,37,1100,37,1.0,1.0
THO1_YEAST,41,218,41,1.0,0.9512195121951219
TNKS2_HUMAN,59,1166,59,1.0,0.9661016949152542
TPK1_HUMAN,243,243,243,1.0,1.0
TPMT_HUMAN,245,245,245,1.0,1.0
TPOR_HUMAN,635,635,635,1.0,0.9984251968503937
TRPC_SACS2,248,248,248,1.0,1.0
TRPC_THEMA,252,252,252,1.0,0.996031746031746
UBC9_HUMAN,159,158,158,0.9937106918238994,1.0
UBE4B_HUMAN,69,1302,69,1.0,1.0
UBE4B_MOUSE,1173,1173,1173,1.0,1.0
UBR5_HUMAN,58,2799,58,1.0,1.0
VG08_BPP22,40,303,40,1.0,1.0
VILI_CHICK,65,826,65,1.0,1.0
VKOR1_HUMAN,163,163,163,1.0,1.0
VRPI_BPT7,56,64,56,1.0,1.0
YAIA_ECOLI,52,63,52,1.0,1.0
YAP1_HUMAN,504,504,504,1.0,1.0
YNZC_BACSU,39,77,39,1.0,1.0
