UniProt_ID,definition,n,rho
AMIE_PSEAE,D_MAD,341,-0.26740247540172496
AMIE_PSEAE,D_pair,341,-0.267874594874904
ANCSZ,D_std,274,0.021283655040566323
ANCSZ,D_u,274,0.027453578639260283
ANCSZ,D_MAD,274,-0.04880957051396247
ANCSZ,D_pair,274,0.0015021560314505689
ARGR_ECOLI,D_std,69,-0.01622258557200893
ARGR_ECOLI,D_u,69,-0.13549878061665568
ARGR_ECOLI,D_MAD,69,-0.03893055163733224
ARGR_ECOLI,D_pair,69,-0.030746184141543953
BBC1_YEAST,D_std,64,-0.1517642498829442
BBC1_YEAST,D_u,64,-0.3061617056706166
BBC1_YEAST,D_MAD,64,-0.2148238069405224
BBC1_YEAST,D_pair,64,-0.1671513313436169
BCHB_CHLTE,D_std,52,-0.03620141312466145
BCHB_CHLTE,D_u,52,-0.037354052457640056
BCHB_CHLTE,D_MAD,52,-0.19530833142137516
BCHB_CHLTE,D_pair,52,-0.03530491586567809
BLAT_ECOLX,D_std,263,-0.06976106405197255
BLAT_ECOLX,D_u,263,-0.14930791677034216
BLAT_ECOLX,D_MAD,263,0.0006786018705720532
BLAT_ECOLX,D_pair,263,-0.054195777976459344
BRCA1_HUMAN,D_std,326,-0.005597598446361097
BRCA1_HUMAN,D_u,326,0.048580407331830625
BRCA1_HUMAN,D_MAD,326,-0.023769444476254772
BRCA1_HUMAN,D_pair,326,-0.015264461501785577
BRCA2_HUMAN,D_std,53,0.21988832225726818
BRCA2_HUMAN,D_u,53,0.2080351563710128
BRCA2_HUMAN,D_MAD,53,0.1627592880367788
BRCA2_HUMAN,D_pair,53,0.21569536561723227
C6KNH7_9INFA,D_std,566,-0.12635998488049305
C6KNH7_9INFA,D_u,566,-0.10045110047150381
C6KNH7_9INFA,D_MAD,566,-0.10433636265316446
C6KNH7_9INFA,D_pair,566,-0.12418467750142935
CALM1_HUMAN,D_std,148,-0.17124860949956505
CALM1_HUMAN,D_u,148,-0.16293799616147914
CALM1_HUMAN,D_MAD,148,-0.049536067876880474
CALM1_HUMAN,D_pair,148,-0.16059103453281698
CAR11_HUMAN,D_std,141,-0.07154897560330636
CAR11_HUMAN,D_u,141,-0.09134449185949546
CAR11_HUMAN,D_MAD,141,0.044713293585157264
CAR11_HUMAN,D_pair,141,-0.05209808284595445
CAS9_STRP1,D_std,1368,0.050413128084023956
CAS9_STRP1,D_u,1368,0.01699034109608421
CAS9_STRP1,D_MAD,1368,-0.03415571801870466
CAS9_STRP1,D_pair,1368,0.030134450072464253
CASP3_HUMAN,D_std,257,-0.030923884861744286
CASP3_HUMAN,D_u,257,-0.14120746839274542
CASP3_HUMAN,D_MAD,257,-0.045616485858066665
CASP3_HUMAN,D_pair,257,-0.05459690785952378
CASP7_HUMAN,D_std,280,-0.019717088735995338
CASP7_HUMAN,D_u,280,-0.004779966561058631
CASP7_HUMAN,D_MAD,280,-0.11056132627791722
CASP7_HUMAN,D_pair,280,-0.08067095555412439
CATR_CHLRE,D_std,72,-0.41491747796599265
CATR_CHLRE,D_u,72,-0.39173252085419846
CATR_CHLRE,D_MAD,72,-0.2732512802461461
CATR_CHLRE,D_pair,72,-0.34639161998369944
CBPA2_HUMAN,D_std,72,-0.09214715250608126
CBPA2_HUMAN,D_u,72,-0.16453355637667588
CBPA2_HUMAN,D_MAD,72,-0.1746470721551308
CBPA2_HUMAN,D_pair,72,-0.10835450370589454
CBS_HUMAN,D_std,549,-0.01511908191642602
CBS_HUMAN,D_u,549,0.025994796915063127
CBS_HUMAN,D_MAD,549,-0.1159751489143964
CBS_HUMAN,D_pair,549,-0.03379072310470129
CBX4_HUMAN,D_std,50,-0.22339608170207015
CBX4_HUMAN,D_u,50,-0.19323857110256457
CBX4_HUMAN,D_MAD,50,-0.3299558205879028
CBX4_HUMAN,D_pair,50,-0.26066077632821083
CCDB_ECOLI,D_std,100,0.08086651268304346
CCDB_ECOLI,D_u,100,-0.08651924754111907
CCDB_ECOLI,D_MAD,100,-0.13433946419080542
CCDB_ECOLI,D_pair,100,0.015950073516735642
CCR5_HUMAN,D_std,323,-0.17517436279827778
CCR5_HUMAN,D_u,323,-0.16994494781078964
CCR5_HUMAN,D_MAD,323,-0.1647929858542704
CCR5_HUMAN,D_pair,323,-0.17936768770022987
CD19_HUMAN,D_std,272,0.2160329838292716
CD19_HUMAN,D_u,272,0.04760925088113005
CD19_HUMAN,D_MAD,272,0.05496579192042289
CD19_HUMAN,D_pair,272,0.1706852886480174
CP2C9_HUMAN,D_std,490,-0.03871760804073084
CP2C9_HUMAN,D_u,490,-0.15934326032988427
CP2C9_HUMAN,D_MAD,490,-0.054778234872500144
CP2C9_HUMAN,D_pair,490,-0.06077014060557736
CSN4_MOUSE,D_std,72,-0.28516300242125897
CSN4_MOUSE,D_u,72,-0.3270973193265109
CSN4_MOUSE,D_MAD,72,-0.2132572258874067
CSN4_MOUSE,D_pair,72,-0.2573461434311954
CUE1_YEAST,D_std,52,-0.22911908518874766
CUE1_YEAST,D_u,52,-0.27270592811360533
CUE1_YEAST,D_MAD,52,-0.27402932882924746
CUE1_YEAST,D_pair,52,-0.24465837101112592
D7PM05_CLYGR,D_std,234,-0.045698044278199845
D7PM05_CLYGR,D_u,234,-0.00026601032159235795
D7PM05_CLYGR,D_MAD,234,-0.0773762206212081
D7PM05_CLYGR,D_pair,234,-0.04648436704220261
DLG4_HUMAN,D_std,84,-0.031001630067702825
DLG4_HUMAN,D_u,84,-0.1603640818557626
DLG4_HUMAN,D_MAD,84,-0.027366886372632505
DLG4_HUMAN,D_pair,84,-0.02068462776888206
DLG4_RAT,D_std,83,-0.05159394432985249
DLG4_RAT,D_u,83,-0.21010154018293672
DLG4_RAT,D_MAD,83,-0.07629942540236526
DLG4_RAT,D_pair,83,-0.044551727762453995
DN7A_SACS2,D_std,55,-0.155486210094019
DN7A_SACS2,D_u,55,0.01919226537587427
DN7A_SACS2,D_MAD,55,0.07399123362014685
DN7A_SACS2,D_pair,55,-0.12626490378864652
DNJA1_HUMAN,D_std,65,-0.28730646097061435
DNJA1_HUMAN,D_u,65,-0.19611228270710376
DNJA1_HUMAN,D_MAD,65,-0.22222707854340742
DNJA1_HUMAN,D_pair,65,-0.28026967079547643
DOCK1_MOUSE,D_std,66,0.09288100259370059
DOCK1_MOUSE,D_u,66,-0.026680584696504684
DOCK1_MOUSE,D_MAD,66,-0.23801670275809853
DOCK1_MOUSE,D_pair,66,0.014405010516892204
DYR_ECOLI,D_std,158,0.014141747595456569
DYR_ECOLI,D_u,158,0.019810008303360094
DYR_ECOLI,D_MAD,158,0.024907791886877192
DYR_ECOLI,D_pair,158,0.01721015388848969
ENVZ_ECOLI,D_std,60,-0.41089191442067247
ENVZ_ECOLI,D_u,60,-0.42278410669630456
ENVZ_ECOLI,D_MAD,60,-0.31981105862739656
ENVZ_ECOLI,D_pair,60,-0.39799944429008066
ENV_HV1BR,D_std,677,-0.18567201858917998
ENV_HV1BR,D_u,677,-0.19599246449166505
ENV_HV1BR,D_MAD,677,-0.19165806207328334
ENV_HV1BR,D_pair,677,-0.19363315128692374
EPHB2_HUMAN,D_std,66,-0.02279701893086482
EPHB2_HUMAN,D_u,66,-0.21479718661141772
EPHB2_HUMAN,D_MAD,66,-0.12945450035741096
EPHB2_HUMAN,D_pair,66,-0.03619966192868095
ESTA_BACSU,D_std,168,0.023925358827246966
ESTA_BACSU,D_u,168,-0.010076899438348517
ESTA_BACSU,D_MAD,168,-0.019723486667573887
ESTA_BACSU,D_pair,168,-0.0034576851627189337
FECA_ECOLI,D_std,72,0.11338987838030552
FECA_ECOLI,D_u,72,-0.09033243572611407
FECA_ECOLI,D_MAD,72,0.13307070809350657
FECA_ECOLI,D_pair,72,0.11874422175816168
FKBP3_HUMAN,D_std,69,0.17572961881767565
FKBP3_HUMAN,D_u,69,-0.03456496920709454
FKBP3_HUMAN,D_MAD,69,0.10058917571578355
FKBP3_HUMAN,D_pair,69,0.18321991341329336
GAL4_YEAST,D_std,64,-0.23482411659181096
GAL4_YEAST,D_u,64,-0.4081090672092837
GAL4_YEAST,D_MAD,64,-0.3941208118483013
GAL4_YEAST,D_pair,64,-0.32058517155456073
GDIA_HUMAN,D_std,445,-0.039666796864053666
GDIA_HUMAN,D_u,445,-0.029452805193321673
GDIA_HUMAN,D_MAD,445,0.0013722604368504273
GDIA_HUMAN,D_pair,445,-0.03525342100835401
GFP_AEQVI,D_std,233,-0.012249368756479624
GFP_AEQVI,D_u,233,-0.03823480449896436
GFP_AEQVI,D_MAD,233,-0.019295768086847073
GFP_AEQVI,D_pair,233,-0.021677141766559247
GRB2_HUMAN,D_std,55,0.04264069264069265
GRB2_HUMAN,D_u,55,-0.12561327561327565
GRB2_HUMAN,D_MAD,55,-0.0660894660894661
GRB2_HUMAN,D_pair,55,0.0681818181818182
HCP_LAMBD,D_std,55,-0.2818593409430558
HCP_LAMBD,D_u,55,-0.18449106227861092
HCP_LAMBD,D_MAD,55,-0.24264506939498182
HCP_LAMBD,D_pair,55,-0.2815707354486817
HECD1_HUMAN,D_std,72,-0.11597768251075866
HECD1_HUMAN,D_u,72,-0.06589165990975862
HECD1_HUMAN,D_MAD,72,-0.0449729069711066
HECD1_HUMAN,D_pair,72,-0.09555737795112139
HEM3_HUMAN,D_std,342,-0.11579863850287629
HEM3_HUMAN,D_u,342,-0.15460553035254496
HEM3_HUMAN,D_MAD,342,-0.18070783677416036
HEM3_HUMAN,D_pair,342,-0.13487884115922513
HIS7_YEAST,D_std,91,-0.056475217681750935
HIS7_YEAST,D_u,91,-0.043859684638753685
HIS7_YEAST,D_MAD,91,-0.03885010743923016
HIS7_YEAST,D_pair,91,-0.03582365380517779
HMDH_HUMAN,D_std,887,0.08897564086385407
HMDH_HUMAN,D_u,887,0.07358698913085668
HMDH_HUMAN,D_MAD,887,0.07162984660245077
HMDH_HUMAN,D_pair,887,0.06899059816973442
HSP82_YEAST,D_std,707,-0.10542030825647486
HSP82_YEAST,D_u,707,-0.08101050430340405
HSP82_YEAST,D_MAD,707,-0.1532850389213711
HSP82_YEAST,D_pair,707,-0.12749155348095528
HXK4_HUMAN,D_std,464,-0.1407342244424924
HXK4_HUMAN,D_u,464,-0.09577205354114188
HXK4_HUMAN,D_MAD,464,-0.11547394282948174
HXK4_HUMAN,D_pair,464,-0.1418177457678842
I6TAH8_I68A0,D_std,498,0.09069906445515664
I6TAH8_I68A0,D_u,498,0.09229562853887649
I6TAH8_I68A0,D_MAD,498,0.05989651239131074
I6TAH8_I68A0,D_pair,498,0.0808574400269637
IF1_ECOLI,D_std,72,-0.3827655814891696
IF1_ECOLI,D_u,72,-0.4744852452773658
IF1_ECOLI,D_MAD,72,-0.14806358067351177
IF1_ECOLI,D_pair,72,-0.33034515653308266
ILF3_HUMAN,D_std,71,-0.2827176847762411
ILF3_HUMAN,D_u,71,-0.4889417998977041
ILF3_HUMAN,D_MAD,71,-0.313569979419992
ILF3_HUMAN,D_pair,71,-0.277100555044906
ISDH_STAAW,D_std,55,-0.3627541178174491
ISDH_STAAW,D_u,55,-0.4641665320576131
ISDH_STAAW,D_MAD,55,-0.3177661133501832
ISDH_STAAW,D_pair,55,-0.35503364231143875
KCNE1_HUMAN,D_std,127,0.10417868912530967
KCNE1_HUMAN,D_u,127,-0.021398755034877603
KCNE1_HUMAN,D_MAD,127,-0.028780666422679322
KCNE1_HUMAN,D_pair,127,0.06443647015772794
KCNJ2_MOUSE,D_std,391,-0.12052133873122302
KCNJ2_MOUSE,D_u,391,-0.14226181986186107
KCNJ2_MOUSE,D_MAD,391,-0.09334204854367353
KCNJ2_MOUSE,D_pair,391,-0.10550185447502872
KKA2_KLEPN,D_std,264,-0.12317809464125618
KKA2_KLEPN,D_u,264,-0.2044717891138126
KKA2_KLEPN,D_MAD,264,-0.12371909604175346
KKA2_KLEPN,D_pair,264,-0.14420834196980992
LGK_LIPST,D_std,439,-0.12283742017228388
LGK_LIPST,D_u,439,-0.057806616653500544
LGK_LIPST,D_MAD,439,-0.14998110433998602
LGK_LIPST,D_pair,439,-0.12536275054529106
MBD11_ARATH,D_std,66,-0.147940172643197
MBD11_ARATH,D_u,66,-0.12944504170459498
MBD11_ARATH,D_MAD,66,0.05110167103577624
MBD11_ARATH,D_pair,66,-0.11631475123012469
MET_HUMAN,D_std,287,-0.1582338448489387
MET_HUMAN,D_u,287,-0.25381335531232047
MET_HUMAN,D_MAD,287,-0.14136261730797345
MET_HUMAN,D_pair,287,-0.15375784632800593
MK01_HUMAN,D_std,359,-0.35087123225610534
MK01_HUMAN,D_u,359,-0.35542248084416683
MK01_HUMAN,D_MAD,359,-0.27870276706807073
MK01_HUMAN,D_pair,359,-0.33304658928603365
MLAC_ECOLI,D_std,211,-0.028696575572863422
MLAC_ECOLI,D_u,211,-0.11752521020999797
MLAC_ECOLI,D_MAD,211,-0.014400344921543969
MLAC_ECOLI,D_pair,211,-0.04641580238450907
MSH2_HUMAN,D_std,934,0.02677155516777694
MSH2_HUMAN,D_u,934,-0.02657670481229762
MSH2_HUMAN,D_MAD,934,-0.09060992940475836
MSH2_HUMAN,D_pair,934,-0.00979335118303149
MTH3_HAEAE,D_std,329,-0.1146122333384332
MTH3_HAEAE,D_u,329,-0.0345911515356952
MTH3_HAEAE,D_MAD,329,-0.09511041816149057
MTH3_HAEAE,D_pair,329,-0.12046094132441969
MTHR_HUMAN,D_std,656,0.03971204502739742
MTHR_HUMAN,D_u,656,-0.028926719775791133
MTHR_HUMAN,D_MAD,656,0.041317235912576425
MTHR_HUMAN,D_pair,656,0.04473469589375878
MYO3_YEAST,D_std,61,-0.06616072157687643
MYO3_YEAST,D_u,61,-0.19938123129082663
MYO3_YEAST,D_MAD,61,-0.14958880973636685
MYO3_YEAST,D_pair,61,-0.08990665601973613
NCAP_I34A1,D_std,498,0.07588159113499136
NCAP_I34A1,D_u,498,0.05044796004249798
NCAP_I34A1,D_MAD,498,0.05815216931912737
NCAP_I34A1,D_pair,498,0.0665626969655453
NKX31_HUMAN,D_std,61,-0.24157489078589078
NKX31_HUMAN,D_u,61,-0.4026600740901428
NKX31_HUMAN,D_MAD,61,-0.12329944349109116
NKX31_HUMAN,D_pair,61,-0.2249957033381288
NPC1_HUMAN,D_std,115,0.040629845458556024
NPC1_HUMAN,D_u,115,-0.1112093080151795
NPC1_HUMAN,D_MAD,115,0.016259039923743383
NPC1_HUMAN,D_pair,115,0.03000090744483006
NRAM_I33A0,D_std,50,0.0031250022572197624
NRAM_I33A0,D_u,50,0.007836544121951098
NRAM_I33A0,D_MAD,50,0.04778849605656067
NRAM_I33A0,D_pair,50,0.0019230783121352384
NUD15_HUMAN,D_std,163,-0.1771707655338503
NUD15_HUMAN,D_u,163,-0.4187585729918386
NUD15_HUMAN,D_MAD,163,-0.2811167302226122
NUD15_HUMAN,D_pair,163,-0.21094423280726324
NUSA_ECOLI,D_std,69,-0.09421329080390407
NUSA_ECOLI,D_u,69,0.016460379099150196
NUSA_ECOLI,D_MAD,69,-0.07409910946298913
NUSA_ECOLI,D_pair,69,-0.13341858885803984
NUSG_MYCTU,D_std,55,-0.45076570652546805
NUSG_MYCTU,D_u,55,-0.45094608495945177
NUSG_MYCTU,D_MAD,55,-0.274572052210111
NUSG_MYCTU,D_pair,55,-0.40184707522906665
OBSCN_HUMAN,D_std,65,0.02180944055944056
OBSCN_HUMAN,D_u,65,-0.019842657342657343
OBSCN_HUMAN,D_MAD,65,-0.04986888111888112
OBSCN_HUMAN,D_pair,65,0.03304195804195804
OPSD_HUMAN,D_std,109,0.0402702289478571
OPSD_HUMAN,D_u,109,0.13619872393203444
OPSD_HUMAN,D_MAD,109,-0.01565678329476575
OPSD_HUMAN,D_pair,109,0.02947867869822424
OTC_HUMAN,D_std,322,-0.03877734738487954
OTC_HUMAN,D_u,322,0.006423738895723207
OTC_HUMAN,D_MAD,322,0.030165511194345636
OTC_HUMAN,D_pair,322,-0.025041078635421064
OXDA_RHOTO,D_std,364,-0.09989720641386264
OXDA_RHOTO,D_u,364,-0.15913281399205267
OXDA_RHOTO,D_MAD,364,-0.07336818674002012
OXDA_RHOTO,D_pair,364,-0.10037120772205363
P53_HUMAN,D_std,393,0.17789890660379243
P53_HUMAN,D_u,393,0.04997173625974766
P53_HUMAN,D_MAD,393,0.07917376266895358
P53_HUMAN,D_pair,393,0.1517537234523485
P84126_THETH,D_std,80,-0.22468117128043547
P84126_THETH,D_u,80,-0.0911360656670172
P84126_THETH,D_MAD,80,-0.2180701434944293
P84126_THETH,D_pair,80,-0.20944298666730074
PABP_YEAST,D_std,75,0.23324656114111098
PABP_YEAST,D_u,75,-0.025064367916730956
PABP_YEAST,D_MAD,75,0.27476920015866924
PABP_YEAST,D_pair,75,0.2237727421669096
PAI1_HUMAN,D_std,379,-0.018649140830038113
PAI1_HUMAN,D_u,379,-0.08338031217795791
PAI1_HUMAN,D_MAD,379,-0.05949522072257928
PAI1_HUMAN,D_pair,379,-0.035120006286779026
PA_I34A1,D_std,674,0.07318073225899854
PA_I34A1,D_u,674,0.07878924429198093
PA_I34A1,D_MAD,674,0.06536162349256246
PA_I34A1,D_pair,674,0.07771070463561365
PHOT_CHLRE,D_std,118,-0.28300587875670813
PHOT_CHLRE,D_u,118,-0.30612464827624614
PHOT_CHLRE,D_MAD,118,-0.2214617420783929
PHOT_CHLRE,D_pair,118,-0.2900949042918461
PITX2_HUMAN,D_std,52,-0.1223261203743034
PITX2_HUMAN,D_u,52,-0.13671491708150768
PITX2_HUMAN,D_MAD,52,-0.13782503196099527
PITX2_HUMAN,D_pair,52,-0.11861150520063346
PKN1_HUMAN,D_std,71,-0.287247422825681
PKN1_HUMAN,D_u,71,-0.3173304278781779
PKN1_HUMAN,D_MAD,71,-0.21920013491986584
PKN1_HUMAN,D_pair,71,-0.2805399523568969
POLG_CXB3N,D_std,851,0.18269310292354704
POLG_CXB3N,D_u,851,0.06661477519137546
POLG_CXB3N,D_MAD,851,0.061755379421201566
POLG_CXB3N,D_pair,851,0.16690554782154815
POLG_DEN26,D_std,900,0.06423686236622535
POLG_DEN26,D_u,900,0.03857430690069956
POLG_DEN26,D_MAD,900,0.03442705730106645
POLG_DEN26,D_pair,900,0.06159194218090698
POLG_PESV,D_std,53,-0.1295381700426481
POLG_PESV,D_u,53,-0.18525611308620227
POLG_PESV,D_MAD,53,0.001935210756939654
POLG_PESV,D_pair,53,-0.1372790130704067
PPARG_HUMAN,D_std,504,-0.132393094729563
PPARG_HUMAN,D_u,504,-0.1614798430989768
PPARG_HUMAN,D_MAD,504,-0.22144396774001696
PPARG_HUMAN,D_pair,504,-0.1656951087513652
PPM1D_HUMAN,D_std,420,-0.0659878127986032
PPM1D_HUMAN,D_u,420,-0.2346463613065827
PPM1D_HUMAN,D_MAD,420,-0.10234403971457313
PPM1D_HUMAN,D_pair,420,-0.07174281299262947
PR40A_HUMAN,D_std,63,-0.26219907359399625
PR40A_HUMAN,D_u,63,-0.2900175216254354
PR40A_HUMAN,D_MAD,63,-0.21822720405681195
PR40A_HUMAN,D_pair,63,-0.26810359319342164
PRKN_HUMAN,D_std,465,0.052101206111236344
PRKN_HUMAN,D_u,465,0.03597124792216868
PRKN_HUMAN,D_MAD,465,-0.05734882076675662
PRKN_HUMAN,D_pair,465,0.016464080669692866
PSAE_PICP2,D_std,68,0.03859331012699711
PSAE_PICP2,D_u,68,-0.0846304337799729
PSAE_PICP2,D_MAD,68,-0.06516199840433637
PSAE_PICP2,D_pair,68,0.003378346138713397
PTEN_HUMAN,D_std,403,-0.1222253217905854
PTEN_HUMAN,D_u,403,-0.22671063426502575
PTEN_HUMAN,D_MAD,403,-0.2691383663756792
PTEN_HUMAN,D_pair,403,-0.15901223073991191
Q2N0S5_9HIV1,D_std,670,-0.16750859831197215
Q2N0S5_9HIV1,D_u,670,-0.21010373433363644
Q2N0S5_9HIV1,D_MAD,670,-0.13026514996691746
Q2N0S5_9HIV1,D_pair,670,-0.1640668198098446
Q53Z42_HUMAN,D_std,180,0.13585179438753286
Q53Z42_HUMAN,D_u,180,0.01710275860057388
Q53Z42_HUMAN,D_MAD,180,0.12404387369807397
Q53Z42_HUMAN,D_pair,180,0.16289806514765112
Q59976_STRSQ,D_std,500,-0.0733378931557239
Q59976_STRSQ,D_u,500,-0.10942788681376926
Q59976_STRSQ,D_MAD,500,-0.1300403294469572
Q59976_STRSQ,D_pair,500,-0.09747911852602353
Q6WV12_9MAXI,D_std,220,-0.052999114009239824
Q6WV12_9MAXI,D_u,220,-0.03876172362230752
Q6WV12_9MAXI,D_MAD,220,-0.03205272534189156
Q6WV12_9MAXI,D_pair,220,-0.052039961126142974
Q8WTC7_9CNID,D_std,234,-0.22770551701681735
Q8WTC7_9CNID,D_u,234,-0.15023360303317973
Q8WTC7_9CNID,D_MAD,234,-0.17923113016771908
Q8WTC7_9CNID,D_pair,234,-0.20423775087072504
R1AB_SARS2,D_std,303,0.2119449874636612
R1AB_SARS2,D_u,303,0.11277157811507207
R1AB_SARS2,D_MAD,303,0.11965305734110268
R1AB_SARS2,D_pair,303,0.20257764288908484
RAD_ANTMA,D_std,54,-0.10982350506510608
RAD_ANTMA,D_u,54,-0.17954484861390127
RAD_ANTMA,D_MAD,54,-0.1262531929106669
RAD_ANTMA,D_pair,54,-0.12118324283303442
RASH_HUMAN,D_std,165,-0.21861008113429076
RASH_HUMAN,D_u,165,-0.3344215172312789
RASH_HUMAN,D_MAD,165,-0.046439715332794944
RASH_HUMAN,D_pair,165,-0.1888871672911247
RASK_HUMAN,D_std,185,-0.24974661911275864
RASK_HUMAN,D_u,185,-0.11462719721727654
RASK_HUMAN,D_MAD,185,-0.13588987040932693
RASK_HUMAN,D_pair,185,-0.23442199067809058
RBP1_HUMAN,D_std,52,-0.13767342595255497
RBP1_HUMAN,D_u,52,-0.15073639288014626
RBP1_HUMAN,D_MAD,52,-0.12734258282681288
RBP1_HUMAN,D_pair,52,-0.16636072587197107
RCD1_ARATH,D_std,57,-0.1206896551724138
RCD1_ARATH,D_u,57,-0.15698729582577134
RCD1_ARATH,D_MAD,57,-0.18965517241379315
RCD1_ARATH,D_pair,57,-0.14285714285714285
RCRO_LAMBD,D_std,63,-0.17743639064026018
RCRO_LAMBD,D_u,63,-0.2268122910118802
RCRO_LAMBD,D_MAD,63,-0.19978396635536871
RCRO_LAMBD,D_pair,63,-0.21171387519576498
RDRP_I33A0,D_std,754,0.046680901874301885
RDRP_I33A0,D_u,754,0.014042299328478853
RDRP_I33A0,D_MAD,754,-0.05472294523750299
RDRP_I33A0,D_pair,754,0.026766420197764484
REV_HV1H2,D_std,113,0.31462571242689036
REV_HV1H2,D_u,113,0.11884547966764926
REV_HV1H2,D_MAD,113,0.2714174916365315
REV_HV1H2,D_pair,113,0.3179359861274799
RFAH_ECOLI,D_std,55,-0.15772290267541786
RFAH_ECOLI,D_u,55,-0.2624866971331977
RFAH_ECOLI,D_MAD,55,-0.10934540668096787
RFAH_ECOLI,D_pair,55,-0.1676437165445258
RL20_AQUAE,D_std,59,-0.2614959746510569
RL20_AQUAE,D_u,59,-0.28230343262507934
RL20_AQUAE,D_MAD,59,-0.2141531629685902
RL20_AQUAE,D_pair,59,-0.29881496879828534
RL40A_YEAST,D_std,75,-0.08361487089110158
RL40A_YEAST,D_u,75,-0.24780045099064124
RL40A_YEAST,D_MAD,75,-0.01759639253016207
RL40A_YEAST,D_pair,75,-0.09091232389673871
RNC_ECOLI,D_std,226,-0.0868468655858755
RNC_ECOLI,D_u,226,-0.1828022663632884
RNC_ECOLI,D_MAD,226,-0.08918546627221499
RNC_ECOLI,D_pair,226,-0.0990227674478039
RPC1_BP434,D_std,61,-0.28315284642223
RPC1_BP434,D_u,61,-0.4887143552706464
RPC1_BP434,D_MAD,61,-0.38279979938001113
RPC1_BP434,D_pair,61,-0.32649715531230517
RPC1_LAMBD,D_std,59,-0.40354184022192296
RPC1_LAMBD,D_u,59,-0.29529946378756833
RPC1_LAMBD,D_MAD,59,-0.26809275416003486
RPC1_LAMBD,D_pair,59,-0.31806426163917806
RS15_GEOSE,D_std,63,-0.09096909696865074
RS15_GEOSE,D_u,63,-0.2422562257795757
RS15_GEOSE,D_MAD,63,-0.1742094210550045
RS15_GEOSE,D_pair,63,-0.12661266134818805
S22A1_HUMAN,D_std,547,-0.014343363263996177
S22A1_HUMAN,D_u,547,0.05859664677534036
S22A1_HUMAN,D_MAD,547,0.08257587748416173
S22A1_HUMAN,D_pair,547,-0.0016013770919167322
SBI_STAAM,D_std,56,-0.31582904702230924
SBI_STAAM,D_u,56,-0.41719783324329934
SBI_STAAM,D_MAD,56,-0.33900100826904944
SBI_STAAM,D_pair,56,-0.3176062475899059
SC6A4_HUMAN,D_std,612,-0.03769600411288098
SC6A4_HUMAN,D_u,612,0.0308760137874167
SC6A4_HUMAN,D_MAD,612,0.017826610699464066
SC6A4_HUMAN,D_pair,612,-0.04171741274587248
SCIN_STAAR,D_std,70,0.03615048132820524
SCIN_STAAR,D_u,70,-0.10848643961029644
SCIN_STAAR,D_MAD,70,-0.026561679891682264
SCIN_STAAR,D_pair,70,8.748906420185198e-05
SERC_HUMAN,D_std,366,-0.09435747931996649
SERC_HUMAN,D_u,366,-0.1588404934718029
