DMS_id,D_correct,D_incorrect,n,n_incorrect
NP_000229.1,0.4025615229288089,0.4318573001766776,151,6
NP_000240.1,0.42053862040075146,0.18847289087841834,184,30
NP_000242.1,0.3030113785032842,0.2341267130741942,288,39
NP_000243.1,0.30681371961726916,0.10223605086626565,75,3
NP_000246.2,0.3885287885478143,,108,0
NP_000247.2,0.340198312620247,0.2695119920858097,60,7
NP_000248.2,0.3908177571616767,0.3483903984772473,301,58
NP_000251.3,0.3636317988435649,0.24411065702719198,152,14
NP_000252.1,0.296445048270422,0.38416371543702776,45,2
NP_000254.2,0.33354759416242663,0.215430230313496,80,10
NP_000255.2,0.28518661474348483,0.34078807892774304,175,4
NP_000262.2,0.2859070999119938,0.1741635782482948,143,11
NP_000264.2,0.2987866175720373,0.23582311514760113,21,4
NP_000266.2,0.27037302790800555,0.18918144117115515,69,4
NP_000267.2,0.2652896231979788,0.2863150474235694,42,2
NP_000268.1,0.2786571241762891,0.31224012691083813,399,13
NP_000273.2,0.3586735671598213,,35,0
NP_000274.3,0.20730597050347147,0.11768181289989438,32,3
NP_000275.1,0.35209682263499104,0.2402912804068083,61,3
NP_000278.3,0.25320899841453814,0.38907210595954667,30,6
NP_000283.1,0.3166236451984552,0.3475532388491756,45,3
NP_000286.3,0.25042094190783043,0.22786477049035267,52,7
NP_000288.1,0.3514812255429549,,24,0
NP_000294.1,0.3542094321999216,0.42131946743136406,60,6
NP_000295.1,0.3657100481737815,,29,0
NP_000301.1,0.34361909860768974,,25,0
NP_000303.1,0.4484525176976153,0.3920707467168054,49,3
NP_000308.1,0.2626994919757759,0.4247619828134461,27,24
NP_000312.2,0.2894083206133873,0.2443347368920983,67,13
NP_000313.2,0.36193005150347923,0.23418458743436116,85,3
NP_000320.1,0.3297210929659124,0.2645094100917529,65,18
NP_000321.1,0.3988038838528879,0.4422889951782038,100,7
NP_000325.4,0.33242266547147903,0.17309813534295027,92,6
NP_000333.1,0.2498986898595243,0.17851375424062457,36,2
NP_000337.1,0.48743079217839713,0.26695715694246397,50,3
NP_000341.2,0.39476032093630464,0.2588637537696515,448,51
NP_000343.2,0.3759252331570976,0.2868333804245662,100,11
NP_000350.1,0.23519853098882645,0.17009349632852522,81,4
NP_000354.4,0.3169238871497501,0.26116694687268005,47,9
NP_000359.1,0.29958772344584317,0.39393142655526747,111,5
NP_000360.2,0.2141354436839372,0.3786702251070852,22,2
NP_000362.1,0.3639671867900548,0.25559188289311163,84,2
NP_000363.1,0.37006247091876754,0.24234435709601237,91,7
NP_000368.1,0.26624801095930967,0.3752442906472828,48,1
NP_000373.1,0.2998519754553808,,28,0
NP_000374.1,0.2939486159975027,0.39521572444415376,39,3
NP_000381.1,0.32460622808643247,0.2759994290886753,31,7
NP_000382.3,0.28915679408796763,0.2015037439402402,46,5
NP_000383.2,0.21173011648432064,0.19447939674537096,24,1
NP_000384.2,0.30957411326546,0.3086436282573329,74,4
NP_000387.1,0.29755394628541487,,23,0
NP_000388.2,0.2593209330422176,0.1587212068220632,71,6
NP_000391.1,0.4055464954218596,,23,0
NP_000393.4,0.31049883808648904,0.19956149173984927,188,9
NP_000400.2,0.3869096198332942,0.4998386397105701,20,2
NP_000402.3,0.31961422993167327,,31,0
NP_000405.1,0.24873133906059652,0.17615786927407906,30,2
NP_000410.2,0.2729717152214604,0.21473118582220221,76,11
NP_000412.4,0.16992024945212836,,27,0
NP_000413.1,0.3037151683612705,,21,0
NP_000414.2,0.2827576062068642,,27,0
NP_000415.2,0.28813038967135,0.2874698818239912,63,3
NP_000416.1,0.30869777234434703,0.21857818599023113,85,8
NP_000421.1,0.28899001680867775,0.34137185804052417,42,4
NP_000422.1,0.3585872022076034,,34,0
NP_000425.1,0.3494546710161205,0.29836434219814406,21,3
NP_000432.1,0.2998895589960982,0.18228871235582933,139,21
NP_000435.3,0.38673968769837713,0.21779547308111902,148,8
NP_000439.2,0.43590319018660295,0.314738003112109,63,2
NP_000446.1,0.45935726362538004,,29,0
NP_000449.1,0.4254893012752632,0.45637622775808195,76,8
NP_000450.3,0.3681656139575293,,35,0
NP_000452.2,0.41293242838139343,,34,0
NP_000457.1,0.2917865490972448,0.1656658483841084,32,3
NP_000465.1,0.31789439584876045,,23,0
NP_000466.2,0.4263241287803365,,21,0
NP_000472.2,0.39302195184403294,,29,0
NP_000475.1,0.25706301501216483,0.39830354048858896,25,4
NP_000478.3,0.3387344903109086,0.3750858280853209,114,25
NP_000479.1,0.3631890783453894,0.42365095948462095,33,5
NP_000483.3,0.43019484457127044,0.19296384333081484,198,2
NP_000484.2,0.30203039892637895,0.32115580298550167,54,13
NP_000485.3,0.38602026459593847,0.21774947093143765,35,4
NP_000486.1,0.3319993943858578,0.163333452955449,508,10
NP_000488.3,0.3481429576845274,0.21461444003707938,46,4
NP_000489.3,0.328729496040591,0.17951445679733274,31,3
NP_000491.4,0.3347577694406988,0.8212844840905746,43,1
NP_000503.1,0.3244810163267393,0.3329504059142726,90,24
NP_000508.1,0.24040468289335185,0.2690904459402892,36,5
NP_000509.1,0.3251277312310985,0.27334716204668186,61,21
NP_000511.2,0.4437547746341671,0.2870351897847776,42,14
NP_000517.3,0.22648085251660882,0.23579214072453636,39,2
NP_000518.1,0.38359937375775127,0.17723526578423748,639,42
NP_000519.2,0.2723523615337685,0.15232133737196277,37,2
NP_000522.3,0.29197146035660837,0.251679820256839,119,19
NP_000523.2,0.49954687350973664,0.2705001529513549,42,4
NP_000524.3,0.47844855650509643,0.4326887951768763,26,3
NP_000527.2,0.44567106639261544,0.43414653666810815,46,3
NP_000530.1,0.3767935615529374,0.2909798637303001,117,2
NP_000534.3,0.30386977191565906,0.2740190234741542,121,8
NP_000536.6,0.40971844445065203,0.39727287783903253,105,9
NP_000537.3,0.30483505139683625,0.2404261308606167,271,12
NP_000538.3,0.2799091028343063,0.47801414462801983,25,3
NP_000539.2,0.3446183935935929,0.30779198356472093,376,62
NP_000633.2,0.3392669633099428,0.2592912446531671,26,3
NP_000693.1,0.4021593411550991,,62,0
NP_000700.1,0.2883294121133261,0.12039841687023903,46,2
NP_000710.5,0.3238346763021902,,55,0
NP_000711.1,0.382461120403658,0.26834396771247826,27,2
NP_000712.2,0.36282123880736894,0.19896030676267723,238,12
NP_000735.1,0.3571279503789737,0.3063405131502172,71,1
NP_000775.1,0.4079489178594942,0.31497279172721504,28,2
NP_000776.1,0.3826777950471683,0.6859985290093915,22,2
NP_000780.1,0.3405417175783348,0.3432235716873072,31,4
NP_000797.2,0.32807643072995196,0.32660883956245956,55,10
NP_000807.2,0.2907785312117152,0.10088729146666493,36,1
NP_000824.1,0.2869232985850969,0.21365435990923934,203,13
NP_000825.2,0.2885483859138295,0.26330805740453916,209,9
NP_000827.2,0.2545837930875709,0.2782124047263746,29,2
NP_000834.2,0.29330596589363817,0.3167763219526763,34,1
NP_000882.1,0.36644702595268297,,43,0
NP_000911.2,0.3155385863986796,,41,0
NP_000924.3,0.3038284191769935,,27,0
NP_001001430.1,0.43563780703064664,0.8004109836654134,47,1
NP_001003800.1,0.3035228945343719,0.3037715959039561,99,4
NP_001003841.1,0.2924898975700031,,20,0
NP_001005271.2,0.37209444709473816,0.26395990714595874,52,4
NP_001005463.1,0.537797204910822,0.26727877790103816,30,5
NP_001005731.1,0.34101401627389405,0.2801583162705581,44,2
NP_001005741.1,0.4309126373266989,0.3561204245238919,73,8
NP_001006659.1,0.22027577283719457,0.27827309245877985,22,2
NP_001008537.1,0.5286861720017781,0.3458804699700109,83,1
NP_001013860.1,0.30964699117234185,0.1633872965556929,23,2
NP_001018005.1,0.34211252547166504,,31,0
NP_001018123.1,0.45820078113389884,,39,0
NP_001019242.1,0.32690604423609804,,20,0
NP_001019801.3,0.4436438311278042,0.6792839550227839,24,1
NP_001020466.1,0.22307272578024645,0.17433513451080362,24,1
NP_001025053.1,0.5578834081750704,0.5151825215825367,94,30
NP_001025054.1,0.33135404997695966,0.14974807281032565,24,2
NP_001030025.1,0.28749627591607146,0.06565267317642363,63,4
NP_001032.2,0.32692767563408615,0.10153509905992217,32,2
NP_001035197.1,0.42403307184491107,0.204373900444834,62,1
NP_001035202.1,0.25668095080035025,0.16547791186327454,26,3
NP_001035963.1,0.25999983733696946,0.07188084077614039,36,1
NP_001056.1,0.31932955218681214,0.6147299608630106,35,2
NP_001060.1,0.475672307861411,0.44144371618197475,34,3
NP_001070834.1,0.317787734360052,0.15572565623177148,25,4
NP_001071.1,0.3274327149840851,,61,0
NP_001073279.2,0.319111509108303,0.13897531229558885,95,8
NP_001073883.2,0.42727773587003365,,43,0
NP_001073893.1,0.4028887345372675,0.4204396042098564,33,1
NP_001073936.1,0.30082679856813466,,40,0
NP_001073986.1,0.3396288086627317,0.3050151594491504,80,5
NP_001073991.2,0.37264284355723687,0.3057361505449111,49,2
NP_001075.1,0.26503452555510265,0.24906131260439163,20,1
NP_001076585.1,0.45275176827319286,0.29154501298820135,30,4
NP_001077088.2,0.40796102698467107,0.7109205561103671,21,1
NP_001077430.1,0.32792629429468023,0.11126269752503087,33,1
NP_001077431.1,0.32242339289676203,0.1961148542047579,70,11
NP_001080.2,0.2896676371433544,0.2470395682674501,31,2
NP_001091738.1,0.30550687618120287,,21,0
NP_001091981.1,0.30279103087299125,0.4519856782760293,28,1
NP_001094383.2,0.3281335851573805,0.3394913990930843,80,5
NP_001094832.1,0.40272024017327335,0.350390097048453,65,20
NP_001095876.1,0.33233059989148783,0.2892855510354506,59,16
NP_001104262.1,0.2818793909165105,0.2481049066255827,197,17
NP_001104595.1,0.341710246281178,0.21533753023377655,71,10
NP_001106279.3,0.29704078304802856,0.3998671583952052,27,5
NP_001119580.2,0.32316726342262436,0.23263084269701426,124,9
NP_001120680.1,0.44160365071029517,,26,0
NP_001120693.1,0.292401213542032,0.3288918512840737,186,9
NP_001120972.1,0.3503471583140253,0.23809979400412828,25,5
NP_001121699.1,0.495645714663945,0.8759377851934025,39,4
NP_001121897.1,0.34511865194298075,0.4496822200512867,38,1
NP_001122317.1,0.5041766045769284,0.22444878992993866,54,9
NP_001123476.1,0.3805619888311499,0.2013417086706996,26,5
NP_001123990.1,0.3327247455424956,0.18459330474940844,20,1
NP_001124295.1,0.3258458320227792,0.1746454583325375,42,3
NP_001127835.2,0.3354660932041138,0.38188261157680037,84,3
NP_001128715.1,0.527191872680597,0.35046155658129763,73,15
NP_001130.1,0.31243125331094296,0.54602774581722,24,2
NP_001136438.1,0.2841578530932114,0.45360181450089393,20,6
NP_001138940.4,0.35784432449544157,,37,0
NP_001139189.2,0.29281966585871433,0.18134877392076473,21,1
NP_001148.1,0.3218855744677533,0.315960994062438,22,11
NP_001153508.1,0.326988710553066,0.37048500686086155,78,21
NP_001153605.1,0.2890760037070166,0.27717098352429614,77,4
NP_001156685.1,0.30530551118281923,0.24130199580645528,49,5
NP_001157750.1,0.3064501722084489,,26,0
NP_001157814.1,0.4280756601794905,0.22026901902527332,46,2
NP_001159435.1,0.39125208156980207,0.21105257205652017,741,43
NP_001159762.1,0.31561189901934217,0.33463964957086034,23,5
NP_001161206.1,0.23347986845607654,,21,0
NP_001170787.2,0.2711100832210653,0.18406255169487568,25,2
NP_001170991.1,0.34564671338334757,0.25721838968841365,132,15
NP_001171536.2,0.32168942566375,0.23144424975973968,90,11
NP_001171809.1,0.3315321659863038,0.14112630880382968,105,11
NP_001177203.1,0.3397479316671771,0.3432184818249245,72,9
NP_001180345.1,0.48290590632387964,0.5560350200793642,75,2
NP_001186036.1,0.41468851245056193,0.6074333402235423,30,1
NP_001189333.2,0.5241001666502143,0.5249539975250289,38,2
NP_001191354.2,0.28784963959303944,0.23500559096715884,25,6
NP_001194.1,0.35628223880391435,0.2797301834886731,26,1
NP_001195.2,0.26329265028897025,0.10774328806831954,60,3
NP_001202.5,0.30542756194873333,0.2571307658368609,22,3
NP_001211.3,0.41542544518974367,0.4896751164711047,47,3
NP_001229817.2,0.3072431851193163,0.3977315354332078,23,2
NP_001229825.1,0.46326420598482554,0.5213748871072709,25,2
NP_001230695.2,0.24694474570213465,0.3252749547410815,35,4
NP_001231118.1,0.40943199151724563,0.2657066118312739,29,1
NP_001243371.1,0.34969763880711985,,37,0
NP_001243805.1,0.41492210679744573,0.2841671527659532,40,19
NP_001244074.1,0.26302332864070016,0.24470912713391596,23,6
NP_001244159.1,0.47063126130295996,0.3247191417895845,46,11
NP_001255.4,0.27379927853477604,0.20906221651854637,22,9
NP_001262.3,0.3014776347662114,0.10989588686673515,115,7
NP_001264.2,0.27051216164643854,0.24833796445244546,49,2
NP_001265067.1,0.42924883424356775,0.5045824833678372,99,13
NP_001265273.1,0.32303027224358255,0.1564127523597174,41,5
NP_001265868.1,0.4803314382531474,0.24341867451914478,25,3
NP_001269154.1,0.38274459187734167,0.30205669846537275,21,2
NP_001269862.1,0.47044759448776974,,22,0
NP_001273003.2,0.2852950185757691,0.37039555804829116,48,4
NP_001275880.1,0.24243516183789718,,22,0
NP_001278.1,0.26319964875015617,0.14890203689445292,44,3
NP_001278650.1,0.35201618418396574,0.302553102811642,41,8
NP_001278933.1,0.3006486169315439,0.21343905150278691,23,1
NP_001288.3,0.24356256133437149,0.3916829163526455,40,2
NP_001289.1,0.3345165679349514,0.2852990677902228,85,4
NP_001290039.1,0.33990625799747537,,31,0
NP_001290185.1,0.24382559372860502,0.7044102380655098,34,2
NP_001290425.1,0.37330210526014984,0.3359517651349621,33,7
NP_001291646.4,0.40378728852032897,0.18372603815646862,174,3
NP_001293061.2,0.29024695242586906,0.4012213064640985,70,2
NP_001308943.1,0.3530752356492263,0.22140117537553677,53,6
NP_001308971.2,0.30115095811987486,,30,0
NP_001340274.1,0.3058938089829141,,37,0
NP_001341530.2,0.38401473041520184,,25,0
NP_001349700.1,0.4301852687055164,,25,0
NP_001351.2,0.36365643157397187,,86,0
NP_001352465.1,0.2494976627169478,0.12552852922723273,47,5
NP_001354752.1,0.3138479804870169,,21,0
NP_001355847.1,0.5439709584561906,0.18045527835513758,47,1
NP_001357188.2,0.4092661225378424,0.2693679719774867,98,1
NP_001357587.1,0.3902852111468353,0.2312073091689417,56,3
NP_001358995.1,0.6608740161711234,0.7119286163828037,27,1
NP_001366127.1,0.3555866810026954,0.3248471191744076,177,14
NP_001366429.1,0.37198611297688833,0.2512057113426485,42,7
NP_001387.2,0.2695937222470941,0.15987904116038482,94,6
NP_001390.1,0.42996914207111353,0.3247538312139862,101,13
NP_001421.2,0.35371322039848296,0.329266519239126,51,2
NP_001444.2,0.402142726915274,,25,0
NP_001531.1,0.32559236687623955,0.26839551432884085,21,1
NP_001596.2,0.27837212853171595,0.3249990287667476,23,2
NP_001605.1,0.35534491604712104,0.555367350730746,44,6
NP_001672.1,0.3333509233121434,0.0957138373156502,21,1
NP_001745.2,0.29110724417507355,,41,0
NP_001821.2,0.26441414829666154,0.36563699481005585,33,2
NP_001835.3,0.38380325227446926,0.28191765226480087,402,11
NP_001837.2,0.2712012114001112,0.11330745414650056,89,7
NP_001839.2,0.27281090238272554,0.30604780599856,134,9
NP_001840.3,0.32896423889477167,0.12222616456549826,122,4
NP_001843.1,0.30826310257378264,,20,0
NP_001845.3,0.2717077227128379,0.1688048225985148,154,11
NP_001866.2,0.2432139069269369,0.1420484907544339,61,6
NP_001867.2,0.3436267245655073,0.32761882884332094,28,1
NP_001909.4,0.23418115656753544,,29,0
NP_001918.3,0.22246997404003344,0.0,31,1
NP_001934.2,0.3491048092605959,0.15820210574235372,35,4
NP_001944.1,0.2952199619263249,0.5013380727282958,31,1
NP_001949.1,0.46175978598572637,0.4610381087701467,36,8
NP_001963.1,0.4081092535462888,0.18930036813930506,55,6
NP_002011.2,0.3264939920323014,,28,0
NP_002038.2,0.31994387743383146,0.14762673183993796,32,5
NP_002040.1,0.35507422435892566,0.3186374009447031,26,2
NP_002046.1,0.2719818761489629,0.3230698500618979,51,4
NP_002065.1,0.32882901555932187,0.23041697580862983,33,3
NP_002151.2,0.3195869671592153,0.31516291601190344,57,37
NP_002171.2,0.19279363004980443,0.31047668659207056,45,4
NP_002176.2,0.35200605372569604,0.30441060725335833,20,2
NP_002283.3,0.37383199282396207,,28,0
NP_002307.2,0.5084415365557473,,28,0
NP_002326.2,0.31962428331946724,0.15075351197965045,67,5
NP_002372.1,0.330518534671183,0.6268108648328297,20,3
NP_002388.2,0.20207566253912324,0.28631252158778464,37,4
NP_002411.3,0.3173106219463525,0.32740625084540675,37,4
NP_002430.3,1.2033788339689293,0.4500844298713774,21,15
NP_002445.2,0.23026239336858034,0.11778425270928068,20,2
NP_002461.2,0.2600860718411869,0.4377090601615491,49,3
NP_002462.2,0.29680957697841026,0.3213957425932852,30,6
NP_002463.2,0.3146152367558781,0.3973225339051443,23,3
NP_002464.1,0.30737654760990374,0.22571698811609,71,9
NP_002492.2,0.49132407249727406,0.5116485384823689,27,6
NP_002520.2,0.3524250089541449,0.24455810785113385,48,3
NP_002538.1,0.2277691367554679,0.1493165189236514,20,2
NP_002600.1,0.3727747055626827,0.2958383700956831,90,1
NP_002632.1,0.35619124352282183,0.061421805115353056,32,3
NP_002652.2,0.3856334341210484,0.3387360053559492,42,7
NP_002653.1,0.31023845702091163,,23,0
NP_002684.1,0.3745805131839046,0.22171975023235335,101,6
NP_002730.1,0.32096953224263797,0.294530149583268,22,1
NP_002746.1,0.41773370625018147,,32,0
NP_002760.1,0.23749572415661313,0.5024699501576336,22,4
NP_002825.3,0.35665245166884735,0.40287891094174294,118,10
NP_002851.2,0.27811400289307053,0.29536316385339495,25,5
NP_002854.3,0.2605151928615479,0.23404854382295084,23,3
NP_002871.1,0.2998502897910991,0.483674781099834,59,2
NP_002932.1,0.403833176720881,,22,0
NP_002959.2,0.4474215292845318,0.19471304180810717,35,10
NP_002991.2,0.41179746041542126,0.1598895199212625,72,2
NP_002993.1,0.5636833584185637,0.7883797945670569,30,1
NP_003014.3,0.6142820864176086,0.5244906197411636,24,8
NP_003027.1,0.3356671932316152,0.3271935510733317,41,1
NP_003033.3,0.2540202635868791,0.13809216497891302,113,15
NP_003051.1,0.26638431825755554,,83,0
NP_003061.3,0.32530393526066637,0.1380123561602996,134,4
NP_003099.1,0.5765764477291373,0.4941195882828689,39,1
NP_003110.1,0.35198270521925357,0.23045008313745632,32,2
NP_003150.1,0.3207830780306313,0.12840223877984602,170,5
NP_003156.1,0.3202811815489111,0.25645911423524637,124,17
NP_003233.4,0.40016861536891424,0.2141246920832948,74,9
NP_003313.3,0.2685838399046314,,28,0
NP_003325.2,0.22361025902054305,0.41867899620405036,31,16
NP_003352.2,0.43062920408351624,0.21915564224102196,46,3
NP_003482.1,0.5595405722259184,,22,0
NP_003485.1,0.3507373415785311,0.32289972797164834,125,11
NP_003551.2,0.31292216175903936,,58,0
NP_003570.2,0.23166163343970292,0.1911702713102303,44,5
NP_003602.1,0.37700999552591924,0.2813052565632995,49,2
NP_003631.2,0.29582630473657884,,21,0
NP_003679.2,0.3901574885491779,0.3798182523766582,37,8
NP_003709.3,0.3231479147839385,0.16179058903978863,74,3
NP_003713.3,0.31100060460959966,0.42674268394191767,67,5
NP_003733.2,0.2380652844675748,0.15430270443786484,73,4
NP_003886.3,0.6056460619276333,0.14841430953472304,26,1
NP_003898.2,0.3473608846854417,0.07120848036551998,50,1
NP_003986.2,0.4362865597060982,0.4795459300127187,20,6
NP_003995.2,0.28051790982363,0.2973451257134549,99,20
NP_004046.2,0.3443101740749754,0.3752918757869519,25,6
NP_004073.2,0.2846563108785348,0.3122655546661467,30,2
NP_004083.3,0.26052982761841526,,33,0
NP_004162.2,0.3618787167270318,0.2618508927514601,49,4
NP_004174.1,0.30878247933508407,0.1992604090416271,170,21
NP_004178.2,0.3110756523897178,0.22963421366216263,65,4
NP_004199.1,0.2522631204935518,0.11880411034500357,27,2
NP_004202.4,0.31644385415364173,0.0853327719990815,35,1
NP_004230.2,0.33263009621144246,0.36102491209219817,31,7
NP_004238.3,0.2556870882849369,,27,0
NP_004251.4,0.3585789820647637,0.3536591062867266,49,15
NP_004272.2,0.31818038456723097,,21,0
NP_004290.2,0.3224261577306754,0.17911209561741248,22,3
NP_004295.2,0.42442626009144174,0.15664302408200448,39,10
NP_004312.2,0.3726162012905071,0.3157360111839388,171,11
NP_004319.1,0.3520410972116686,,21,0
NP_004324.2,0.43874124335295417,0.25294139205142874,98,4
NP_004351.1,0.3106074529364745,0.24324807099195414,55,9
NP_004357.3,0.27521610905562954,0.42802630694024246,24,1
NP_004362.2,0.2565220687978907,0.28675836124546117,74,5
NP_004399.2,0.3025575300026295,0.228524814317735,77,9
NP_004422.2,0.2893517862079484,,23,0
NP_004435.3,0.2738368878886308,0.25434355811502324,76,1
NP_004437.2,0.18588040413690715,0.19694546028075563,20,4
NP_004439.2,0.44487105568587393,0.21712867749533626,20,2
NP_004444.2,0.334581567429853,0.2293784358483609,81,5
NP_004447.2,0.3100974065414246,0.24012384649271754,39,1
NP_004454.2,0.2958263047365787,,21,0
NP_004475.1,0.49723957209837416,0.30839681869865165,63,31
NP_004510.1,0.2363273057051059,0.36615403499024957,41,2
NP_004514.2,0.3464108307706555,0.2053272213475185,38,6
NP_004551.2,0.5118566358140701,0.21568413010206886,32,6
NP_004553.2,0.4054678838384369,0.1705060791055628,26,1
NP_004563.2,0.33666314341154324,0.3823799889458973,27,3
NP_004577.1,0.4161411233673803,,31,0
NP_004603.1,0.34408318227449425,,45,0
NP_004605.4,0.28895999862821753,0.3443101740749754,25,3
NP_004637.1,0.3438715884919274,0.31635578145835064,82,5
NP_004691.2,0.315550029769509,0.44550072125447493,25,2
NP_004784.2,0.37766826966562256,0.20243174038312053,66,16
NP_004808.2,0.2938404480443073,0.27312100660269045,20,1
NP_004886.3,0.4015866613468876,0.41820285584961797,48,4
NP_004928.2,0.20123474943754022,0.05728554890233859,31,1
NP_004936.2,0.267564803742648,0.41410839229567126,42,4
NP_004937.1,0.3233458845324732,,23,0
NP_004950.2,0.30459810843621005,0.8349526869052705,25,1
NP_004951.1,0.40711631170598966,0.41861154849742344,21,4
NP_004965.1,0.3130444350728968,,42,0
NP_004966.1,0.2897147887866921,0.196609951588684,156,6
NP_004971.2,0.2018560092589597,,20,0
NP_004975.2,0.2776239699550074,0.28313858594649344,78,6
NP_005008.2,0.2476783906986951,,21,0
NP_005018.2,0.2398532780744471,0.21563607490330694,43,3
