UniProt_ID,DMS_id,has_pdb,n_residues_mapped,target_len,align_pass_rate,median_plddt
SCIN_STAAR,SCIN_STAAR_Tsuboyama_2023_2QFF,True,70,70,1.0,96.96
SCN5A_HUMAN,SCN5A_HUMAN_Glazer_2019,True,2016,2016,1.0,68.48
SDA_BACSU,SDA_BACSU_Tsuboyama_2023_1PV0,True,44,44,1.0,96.52
SERC_HUMAN,SERC_HUMAN_Xie_2023,True,370,370,1.0,98.36
SHOC2_HUMAN,SHOC2_HUMAN_Kwon_2022,True,582,582,1.0,97.32
SOX30_HUMAN,SOX30_HUMAN_Tsuboyama_2023_7JJK,True,57,57,1.0,93.17
SPA_STAAU,SPA_STAAU_Tsuboyama_2023_1LP1,True,55,55,1.0,93.19
SPG1_STRSG,SPG1_STRSG_Olson_2014,True,448,448,1.0,87.37
SPG1_STRSG,SPG1_STRSG_Wu_2016,True,448,448,1.0,77.405
SPG2_STRSG,SPG2_STRSG_Tsuboyama_2023_5UBS,True,56,56,1.0,95.33
SPIKE_SARS2,SPIKE_SARS2_Starr_2020_binding,True,1273,1273,1.0,86.8
SPIKE_SARS2,SPIKE_SARS2_Starr_2020_expression,True,1273,1273,1.0,86.8
SPTN1_CHICK,SPTN1_CHICK_Tsuboyama_2023_1TUD,True,60,60,1.0,97.52
SQSTM_MOUSE,SQSTM_MOUSE_Tsuboyama_2023_2RRU,True,40,40,1.0,92.33
SR43C_ARATH,SR43C_ARATH_Tsuboyama_2023_2N88,True,48,48,1.0,83.91
SRBS1_HUMAN,SRBS1_HUMAN_Tsuboyama_2023_2O2W,True,67,67,1.0,97.84
SRC_HUMAN,SRC_HUMAN_Ahler_2019,True,536,536,1.0,95.81
SRC_HUMAN,SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,True,536,536,1.0,95.75
SRC_HUMAN,SRC_HUMAN_Nguyen_2022,True,536,536,1.0,95.81
SUMO1_HUMAN,SUMO1_HUMAN_Weile_2017,True,101,101,1.0,85.74
SYUA_HUMAN,SYUA_HUMAN_Newberry_2020,True,140,140,1.0,74.01
TADBP_HUMAN,TADBP_HUMAN_Bolognesi_2019,True,414,414,1.0,40.47
TAT_HV1BR,TAT_HV1BR_Fernandes_2016,True,86,86,1.0,91.55
TCRG1_MOUSE,TCRG1_MOUSE_Tsuboyama_2023_1E0L,True,37,37,1.0,86.38
THO1_YEAST,THO1_YEAST_Tsuboyama_2023_2WQG,True,41,41,1.0,78.26
TNKS2_HUMAN,TNKS2_HUMAN_Tsuboyama_2023_5JRT,True,59,59,1.0,97.45
TPK1_HUMAN,TPK1_HUMAN_Weile_2017,True,243,243,1.0,98.52
TPMT_HUMAN,TPMT_HUMAN_Matreyek_2018,True,245,245,1.0,98.22
TPOR_HUMAN,TPOR_HUMAN_Bridgford_2020,True,635,635,1.0,86.72
TRPC_SACS2,TRPC_SACS2_Chan_2017,True,248,248,1.0,98.48
TRPC_THEMA,TRPC_THEMA_Chan_2017,True,252,252,1.0,97.92
UBC9_HUMAN,UBC9_HUMAN_Weile_2017,True,159,159,1.0,98.0
UBE4B_HUMAN,UBE4B_HUMAN_Tsuboyama_2023_3L1X,True,69,69,1.0,97.26
UBE4B_MOUSE,UBE4B_MOUSE_Starita_2013,True,1173,1173,1.0,90.02
UBR5_HUMAN,UBR5_HUMAN_Tsuboyama_2023_1I2T,True,58,58,1.0,97.32499999999999
VG08_BPP22,VG08_BPP22_Tsuboyama_2023_2GP8,True,40,40,1.0,88.22
VILI_CHICK,VILI_CHICK_Tsuboyama_2023_1YU5,True,65,65,1.0,97.27
VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_abundance,True,163,163,1.0,91.29
VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_activity,True,163,163,1.0,91.4
VRPI_BPT7,VRPI_BPT7_Tsuboyama_2023_2WNM,True,56,56,1.0,88.96
YAIA_ECOLI,YAIA_ECOLI_Tsuboyama_2023_2KVT,True,52,52,1.0,92.15
YAP1_HUMAN,YAP1_HUMAN_Araya_2012,True,504,504,1.0,87.39
YNZC_BACSU,YNZC_BACSU_Tsuboyama_2023_2JVD,True,39,39,1.0,95.63
