UniProt_ID,n,rho
IF1_ECOLI,72,-0.2309714675058995
ILF3_HUMAN,71,-0.2730092724943216
ISDH_STAAW,55,-0.13940148296833646
KCNE1_HUMAN,127,-0.08018747711495407
KCNJ2_MOUSE,391,0.12242053050322305
KKA2_KLEPN,264,-0.06684613090054445
LGK_LIPST,439,0.02667339611893497
MBD11_ARATH,66,0.023630594522378093
MET_HUMAN,287,-0.20162364424678697
MK01_HUMAN,359,-0.19960149339616126
MLAC_ECOLI,211,-0.09849596351541724
MSH2_HUMAN,934,-0.08333352050063796
MTH3_HAEAE,329,-0.028497287116209923
MTHR_HUMAN,656,-0.02309475743241399
MYO3_YEAST,61,0.08771187588748963
NCAP_I34A1,498,0.07388122390872827
NKX31_HUMAN,61,-0.25992569794497666
NPC1_HUMAN,115,-0.14933776271623656
NRAM_I33A0,50,0.17586551164476757
NUD15_HUMAN,163,-0.13595090819898675
NUSA_ECOLI,69,-0.1302215118964957
NUSG_MYCTU,55,-0.03127762045278758
OBSCN_HUMAN,65,-0.19881993006993007
OPSD_HUMAN,109,-0.0729043587924961
OTC_HUMAN,322,0.05120533683721912
OXDA_RHOTO,364,-0.1861289924355165
P53_HUMAN,393,0.12065862302902373
P84126_THETH,80,-0.16025881540829057
PABP_YEAST,75,0.031067298257741443
PAI1_HUMAN,379,-0.1324595175980695
PA_I34A1,674,0.012926593350703822
PHOT_CHLRE,118,-0.07342857206797977
PITX2_HUMAN,52,-0.15315315664315055
PKN1_HUMAN,71,-0.2704452093013767
POLG_CXB3N,851,0.06487203232968615
POLG_DEN26,900,0.006188363954497099
POLG_PESV,53,0.026125345218685328
PPARG_HUMAN,504,0.13584012809588333
PPM1D_HUMAN,420,0.1343404571005606
PR40A_HUMAN,63,-0.09010392917171932
PRKN_HUMAN,465,0.046952175191739075
PTEN_HUMAN,403,-0.09396308530065893
Q2N0S5_9HIV1,670,0.027090096032317337
Q53Z42_HUMAN,180,-0.14186687841947576
Q59976_STRSQ,500,-0.00885044982503297
Q8WTC7_9CNID,234,0.052696180633256
R1AB_SARS2,303,-0.1379201234034313
RAD_ANTMA,54,-0.10982350506510608
RASH_HUMAN,165,-0.0711282679849762
RASK_HUMAN,185,0.0337092547182968
RBP1_HUMAN,52,-0.16905016023941635
RCD1_ARATH,57,0.010111485610578171
RCRO_LAMBD,63,-0.09428708636836336
RDRP_I33A0,754,0.022175379938280365
REV_HV1H2,113,-0.040168258384415435
RFAH_ECOLI,55,-0.33416908679835217
RL20_AQUAE,59,-0.047167467935494624
RL40A_YEAST,75,-0.17368791656691904
RNC_ECOLI,226,-0.19993169768013275
RPC1_BP434,61,-0.23332936994333944
RPC1_LAMBD,59,-0.09918321425977308
RS15_GEOSE,63,0.062358235863998586
S22A1_HUMAN,547,0.13409775303321989
SBI_STAAM,56,-0.3491857345987376
SC6A4_HUMAN,612,0.09637018204193802
SCIN_STAAR,70,0.007331583580115196
SERC_HUMAN,366,-0.08881818187070081
SHOC2_HUMAN,578,-0.2014881069725285
SOX30_HUMAN,57,-0.10714632966249518
SPA_STAAU,55,0.0428586890137845
SPG1_STRSG,55,-0.020562770562770567
SPG2_STRSG,56,-0.23631143674050276
SPIKE_SARS2,201,-0.10414102899025385
SPTN1_CHICK,60,-0.05317124006008136
SRBS1_HUMAN,67,-0.0668675420574813
SRC_HUMAN,247,-0.035814745850778866
SUMO1_HUMAN,96,0.09694856856278716
SYUA_HUMAN,139,0.08958235119521483
TADBP_HUMAN,84,-0.016300991229284096
TAT_HV1BR,83,-0.011754519456760534
TNKS2_HUMAN,59,0.08124260276373918
TPK1_HUMAN,241,-0.13197202303116184
TPMT_HUMAN,241,-0.1775478308533213
TRPC_SACS2,80,-0.021969262335585212
TRPC_THEMA,80,-0.11302818977434999
UBC9_HUMAN,158,-0.07857100486025843
UBE4B_HUMAN,69,-0.07121325622256489
UBE4B_MOUSE,102,-0.1012900872784988
UBR5_HUMAN,58,-0.40444806747635736
VILI_CHICK,65,-0.1165016718300879
VKOR1_HUMAN,162,-0.08955794726790578
VRPI_BPT7,56,-0.2038040230304472
YAIA_ECOLI,52,-0.1336663256238374
